# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-17_BARCA_plate 1_A7-G12.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-17 03:24:04 PM CEST
# Run End Date/Time: 2021-08-17 04:35:10 PM CEST
# Run Duration: 71 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 02:51:29 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:32:21 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"5","A5","29","55285.516",,"117922.195","95897.85"
"5","A5","30","55194.86",,"117855.21","96126.79"
"5","A5","31","55163.31",,"117885.63","96131.61"
"5","A5","32","55436.24",,"117921.31","96376.805"
"5","A5","33","55476.57",,"117924.71","96457.414"
"5","A5","34","55352.82",,"117667.85","96505.484"
"5","A5","35","55291.316",,"117613.805","96404.78"
"5","A5","36","55202.18",,"117780.805","96487.39"
"5","A5","37","55350.73",,"117704.65","96565.34"
"5","A5","38","55600.45",,"117442.11","96565.375"
"5","A5","39","55634.414",,"117421.75","96995.26"
"5","A5","40","55865.598",,"117586.57","97002.016"
"5","A5","41","55778.598",,"117590.46","97099.37"
"5","A5","42","55650.95",,"117590.73","97112.9"
"5","A5","43","55843.824",,"117641.1","97422.67"
"5","A5","44","56230.023",,"117625.31","97395.69"
"5","A5","45","56293.297",,"117581.8","97465.164"
"6","A6","1","54361.21",,"119312.54","97815.43"
"6","A6","2","54223.645",,"118904.57","97493.36"
"6","A6","3","54002.324",,"118715.27","97233.48"
"6","A6","4","54079.016",,"118972.625","97278.28"
"6","A6","5","54545.008",,"118973.85","97564.22"
"6","A6","6","54663.773",,"118865.336","97621.09"
"6","A6","7","54927.05",,"118793.65","97744.97"
"6","A6","8","55097.1",,"118845.67","97812.19"
"6","A6","9","55119.227",,"118831.09","97985.02"
"6","A6","10","55123.016",,"118783.13","98001.23"
"6","A6","11","54787.46",,"118739.77","97849.87"
"6","A6","12","54718.53",,"118795.6","97869.93"
"6","A6","13","55058.96",,"118831.38","98387.86"
"6","A6","14","55187.38",,"118803.43","98736.25"
"6","A6","15","55161.297",,"118739.31","98704.58"
"6","A6","16","55336.406",,"118741.96","98699.18"
"6","A6","17","55455.383",,"118674.625","98688.734"
"6","A6","18","55394.14",,"118643.28","98733.625"
"6","A6","19","55400.75",,"118722.11","98692.47"
"6","A6","20","55310.766",,"118697.94","98804.734"
"6","A6","21","55333.19",,"118671.516","98718.34"
"6","A6","22","55620.17",,"118641.87","98678.945"
"6","A6","23","55691.805",,"118693.805","99023.17"
"6","A6","24","55562.562",,"118806.49","99304.93"
"6","A6","25","55526.824",,"118809.67","99336.2"
"6","A6","26","55888.926",,"118724.54","99405.984"
"6","A6","27","56034.277",,"118594.5","99586.16"
"6","A6","28","56089.8",,"118350.26","99653.195"
"6","A6","29","55994.06",,"118317.35","99607.67"
"6","A6","30","55939.016",,"118532.98","99523.93"
"6","A6","31","56241.742",,"118566.63","99380.516"
"6","A6","32","56325.363",,"118666.82","99338.6"
"6","A6","33","56299.81",,"118616.59","99464.66"
"6","A6","34","56268.375",,"118522.84","99721.98"
"6","A6","35","56196.7",,"118464.78","100064.42"
"6","A6","36","56106.598",,"118420.58","100000.55"
"6","A6","37","56294.79",,"118130.62","99949.83"
"6","A6","38","56500.547",,"118060.83","99994.23"
"6","A6","39","56336.88",,"118168.484","100040.58"
"6","A6","40","56174.523",,"118420.28","100225.03"
"6","A6","41","56236.25",,"118181.44","100390.26"
"6","A6","42","56452.15",,"118131.39","100561.09"
"6","A6","43","56432.83",,"118291.66","100536.32"
"6","A6","44","56578.273",,"118319.24","100535.836"
"6","A6","45","56493.168",,"118413.984","101145.19"
"7","A7","1","9259.884",,"123278.19","62802.68"
"7","A7","2","9229.287",,"122867.375","62720.48"
"7","A7","3","9233.582",,"122318.164","62410.105"
"7","A7","4","9321.814",,"122181.875","62251.273"
"7","A7","5","9361.14",,"122234.89","62261.47"
"7","A7","6","9386.441",,"122179.54","62406.918"
"7","A7","7","9272.607",,"122126.414","62467.973"
"7","A7","8","9267.651",,"122028.47","62560.29"
"7","A7","9","9426.576",,"121947.77","62614.145"
"7","A7","10","9500.349",,"121920.81","62895.562"
"7","A7","11","9550.821",,"121859.55","63053.4"
"7","A7","12","9851.484",,"121835.625","63135.617"
"7","A7","13","9838.878",,"121962.53","63252.598"
"7","A7","14","9703.5",,"121902.63","63239.312"
"7","A7","15","9738.311",,"121838.734","63362.973"
"7","A7","16","10181.043",,"121834.914","63591.28"
"7","A7","17","10243.753",,"121658.49","63856.457"
"7","A7","18","10112.928",,"121455.02","63850.715"
"7","A7","19","9966.872",,"121483.766","63734.016"
"7","A7","20","9894.155",,"121783.43","63764.04"
"7","A7","21","9974.543",,"121872.26","64025.227"
"7","A7","22","10071.982",,"121826.1","63988.234"
"7","A7","23","10187.8125",,"121767.17","63978.418"
"7","A7","24","10121.0",,"121742.414","64396.8"
"7","A7","25","10042.529",,"121806.8","64398.4"
"7","A7","26","10048.2",,"121643.57","64458.29"
"7","A7","27","10099.344",,"121574.94","64719.07"
"7","A7","28","10520.872",,"121595.81","64799.062"
"7","A7","29","10609.025",,"121557.14","64753.492"
"7","A7","30","11020.54",,"121523.414","64982.14"
"7","A7","31","11900.587",,"121525.79","64967.56"
"7","A7","32","12968.482",,"121518.34","65117.67"
"7","A7","33","13989.117",,"121566.48","65119.93"
"7","A7","34","15852.076",,"121564.96","65265.91"
"7","A7","35","18029.52",,"121569.875","65441.65"
"7","A7","36","20044.588",,"121706.34","65392.645"
"7","A7","37","22521.096",,"121724.76","65369.3"
"7","A7","38","24607.48",,"121695.58","65624.086"
"7","A7","39","26760.854",,"121804.16","65661.914"
"7","A7","40","28888.709",,"122086.555","65925.75"
"7","A7","41","30534.045",,"122288.53","65968.98"
"7","A7","42","32161.49",,"122260.23","65901.984"
"7","A7","43","33810.492",,"122254.0","66133.516"
"7","A7","44","35465.48",,"122188.28","66224.42"
"7","A7","45","36738.96",,"122171.7","66361.45"
"8","A8","1","9760.055",,"129719.62","65211.04"
"8","A8","2","9761.107",,"129621.945","65216.523"
"8","A8","3","9770.859",,"129755.71","65330.742"
"8","A8","4","9831.054",,"130771.81","65695.21"
"8","A8","5","10078.616",,"132095.39","66469.984"
"8","A8","6","10163.381",,"132474.52","66720.9"
"8","A8","7","10449.272",,"132424.31","66652.22"
"8","A8","8","10584.512",,"132686.1","66674.01"
"8","A8","9","10577.2705",,"132992.5","66755.27"
"8","A8","10","10725.869",,"132885.1","66819.08"
"8","A8","11","10685.164",,"132743.25","66994.96"
"8","A8","12","10612.016",,"132732.61","67228.72"
"8","A8","13","10715.964",,"132778.28","67237.66"
"8","A8","14","10888.306",,"132843.69","67475.51"
"8","A8","15","10840.976",,"132688.8","67543.42"
"8","A8","16","10767.305",,"132484.17","67742.44"
"8","A8","17","10733.854",,"132313.7","67883.88"
"8","A8","18","10694.52",,"132141.03","67814.16"
"8","A8","19","10815.934",,"132088.25","67872.11"
"8","A8","20","10823.159",,"132239.08","68092.78"
"8","A8","21","11024.746",,"132387.81","68047.28"
"8","A8","22","11133.797",,"132319.03","68118.766"
"8","A8","23","11138.75",,"132381.06","68145.734"
"8","A8","24","11082.053",,"132257.94","68452.99"
"8","A8","25","11048.125",,"132122.58","68468.4"
"8","A8","26","11005.127",,"131958.89","68429.44"
"8","A8","27","10950.256",,"131841.67","68675.805"
"8","A8","28","11121.56",,"131762.34","68776.63"
"8","A8","29","11277.202",,"131771.7","68664.1"
"8","A8","30","11245.426",,"131657.22","68772.92"
"8","A8","31","11333.665",,"131608.69","68983.195"
"8","A8","32","11426.412",,"131618.16","69004.02"
"8","A8","33","11862.113",,"131518.72","69061.25"
"8","A8","34","11883.318",,"131529.31","69076.74"
"8","A8","35","12027.431",,"131573.19","69244.414"
"8","A8","36","12407.62",,"131490.4","69521.98"
"8","A8","37","12759.345",,"131367.38","69447.31"
"8","A8","38","13101.493",,"131217.12","69493.86"
"8","A8","39","13218.259",,"131073.95","69573.29"
"8","A8","40","13693.181",,"130963.26","69865.61"
"8","A8","41","13972.134",,"130958.32","69982.555"
"8","A8","42","14280.173",,"130934.16","70220.8"
"8","A8","43","14422.847",,"131136.98","70090.32"
"8","A8","44","14837.997",,"131093.56","70077.266"
"8","A8","45","14980.302",,"130971.984","70467.125"
"9","A9","1","4813.1763",,"95529.22","46487.36"
"9","A9","2","4640.9507",,"95135.65","46234.56"
"9","A9","3","4597.651",,"94427.875","45948.57"
"9","A9","4","4828.9575",,"93653.17","45906.3"
"9","A9","5","5093.151",,"93763.24","45995.22"
"9","A9","6","5160.738",,"95235.56","46585.086"
"9","A9","7","5412.934",,"97315.51","47941.547"
"9","A9","8","5543.511",,"100383.06","49557.766"
"9","A9","9","5537.3076",,"104675.38","51929.008"
"9","A9","10","5844.4395",,"106189.66","52500.92"
"9","A9","11","6467.685",,"106164.766","52383.39"
"9","A9","12","6966.7847",,"106554.02","52598.41"
"9","A9","13","6976.14",,"106840.41","52656.41"
"9","A9","14","7036.2295",,"107069.875","53067.395"
"9","A9","15","7012.614",,"107116.89","53476.582"
"9","A9","16","7037.821",,"106877.375","53586.49"
"9","A9","17","7216.687",,"107028.31","53633.46"
"9","A9","18","7147.5474",,"107156.85","53773.945"
"9","A9","19","7026.599",,"107038.89","53863.562"
"9","A9","20","6882.411",,"107028.44","53785.188"
"9","A9","21","6969.2373",,"107139.79","53832.1"
"9","A9","22","7417.456",,"107230.516","54024.72"
"9","A9","23","7360.782",,"107126.305","54082.035"
"9","A9","24","7154.004",,"107103.125","54080.78"
"9","A9","25","7066.5625",,"107219.9","54397.684"
"9","A9","26","7319.9126",,"106945.57","54599.348"
"9","A9","27","7242.031",,"106726.81","54703.22"
"9","A9","28","7204.071",,"106429.42","54852.332"
"9","A9","29","7648.512",,"106159.33","55031.363"
"9","A9","30","7720.626",,"106386.055","54888.812"
"9","A9","31","7961.1104",,"106397.484","55050.35"
"9","A9","32","7946.9863",,"106418.32","55106.844"
"9","A9","33","8123.407",,"106514.09","55088.703"
"9","A9","34","8090.0063",,"106580.164","55238.9"
"9","A9","35","8333.925",,"106310.71","55665.336"
"9","A9","36","8602.72",,"106167.42","55788.113"
"9","A9","37","8904.897",,"105804.68","55987.863"
"9","A9","38","9035.808",,"105636.21","55998.38"
"9","A9","39","8976.136",,"106209.5","56287.875"
"9","A9","40","8993.757",,"106057.91","56339.188"
"9","A9","41","9457.935",,"105828.81","56459.676"
"9","A9","42","9588.647",,"105828.945","56387.734"
"9","A9","43","9699.817",,"105666.75","56849.297"
"9","A9","44","9734.058",,"105677.336","56678.85"
"9","A9","45","9791.362",,"105412.516","56441.74"
"10","A10","1","11250.144",,"134214.6","65018.11"
"10","A10","2","11249.523",,"133846.56","64884.402"
"10","A10","3","11255.316",,"133079.69","64625.19"
"10","A10","4","11286.888",,"132583.28","64529.035"
"10","A10","5","11419.423",,"132454.12","64544.9"
"10","A10","6","11423.175",,"132536.75","64671.117"
"10","A10","7","11467.247",,"132563.47","64725.535"
"10","A10","8","11625.905",,"132717.47","64757.004"
"10","A10","9","11643.778",,"132845.8","64824.94"
"10","A10","10","11695.293",,"132776.67","65190.74"
"10","A10","11","11763.089",,"132555.55","65271.527"
"10","A10","12","11711.643",,"132501.56","65495.867"
"10","A10","13","11638.74",,"132754.0","65642.64"
"10","A10","14","11616.215",,"132847.53","65688.125"
"10","A10","15","11739.896",,"132778.11","65854.836"
"10","A10","16","11781.449",,"132760.45","65988.18"
"10","A10","17","12006.862",,"132669.31","66000.21"
"10","A10","18","11991.208",,"132425.23","66035.56"
"10","A10","19","11827.739",,"132314.38","66054.24"
"10","A10","20","11796.28",,"132372.44","66385.016"
"10","A10","21","12026.566",,"132573.5","66431.97"
"10","A10","22","12100.417",,"132571.03","66680.03"
"10","A10","23","12100.344",,"132351.75","66768.19"
"10","A10","24","11760.552",,"132285.4","66773.664"
"10","A10","25","11683.89",,"132430.12","66787.03"
"10","A10","26","11900.281",,"132416.83","66786.55"
"10","A10","27","11939.527",,"132443.9","67243.414"
"10","A10","28","12134.248",,"132396.03","67476.33"
"10","A10","29","12304.744",,"132182.05","67431.55"
"10","A10","30","12403.975",,"132082.38","67472.14"
"10","A10","31","12460.669",,"132054.17","67387.516"
"10","A10","32","12686.307",,"132052.05","67530.13"
"10","A10","33","12977.364",,"132203.81","67735.67"
"10","A10","34","12957.837",,"132193.78","67757.15"
"10","A10","35","12949.31",,"132118.97","68033.62"
"10","A10","36","13477.539",,"132005.06","68254.41"
"10","A10","37","13978.53",,"131789.94","68258.79"
"10","A10","38","13980.677",,"131759.25","68416.78"
"10","A10","39","13922.118",,"131845.83","68699.49"
"10","A10","40","14046.718",,"131855.89","68739.3"
"10","A10","41","14422.792",,"131879.11","69022.97"
"10","A10","42","14570.288",,"132049.75","69225.195"
"10","A10","43","14976.471",,"131993.58","69171.516"
"10","A10","44","15030.553",,"131965.31","69125.1"
"10","A10","45","15015.212",,"132090.47","69159.516"
"11","A11","1","9608.613",,"123972.28","61914.215"
"11","A11","2","9575.282",,"123558.22","61795.67"
"11","A11","3","9590.169",,"122878.914","61614.574"
"11","A11","4","9717.406",,"121917.266","61314.04"
"11","A11","5","9702.622",,"121502.516","61076.95"
