Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
300,M12,Sample_42,"""RGB(255,0,36)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
301,M13,Sample_07,"""RGB(255,0,219)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
301,M13,Sample_07,"""RGB(255,0,219)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
302,M14,Sample_14,"""RGB(255,0,182)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
302,M14,Sample_14,"""RGB(255,0,182)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
303,M15,Sample_21,"""RGB(255,0,146)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
303,M15,Sample_21,"""RGB(255,0,146)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
304,M16,Sample_28,"""RGB(255,0,109)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
304,M16,Sample_28,"""RGB(255,0,109)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
305,M17,Sample_35,"""RGB(255,0,73)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
305,M17,Sample_35,"""RGB(255,0,73)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
306,M18,Sample_42,"""RGB(255,0,36)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
306,M18,Sample_42,"""RGB(255,0,36)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
307,M19,Sample_07,"""RGB(255,0,219)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
307,M19,Sample_07,"""RGB(255,0,219)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
307,M19,Sample_07,"""RGB(255,0,219)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
308,M20,Sample_14,"""RGB(255,0,182)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
308,M20,Sample_14,"""RGB(255,0,182)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
308,M20,Sample_14,"""RGB(255,0,182)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
309,M21,Sample_21,"""RGB(255,0,146)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
309,M21,Sample_21,"""RGB(255,0,146)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
309,M21,Sample_21,"""RGB(255,0,146)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
310,M22,Sample_28,"""RGB(255,0,109)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
310,M22,Sample_28,"""RGB(255,0,109)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
310,M22,Sample_28,"""RGB(255,0,109)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
311,M23,Sample_35,"""RGB(255,0,73)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
311,M23,Sample_35,"""RGB(255,0,73)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
311,M23,Sample_35,"""RGB(255,0,73)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
312,M24,Sample_42,"""RGB(255,0,36)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
312,M24,Sample_42,"""RGB(255,0,36)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
312,M24,Sample_42,"""RGB(255,0,36)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
313,N1,Sample_07,"""RGB(255,0,219)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
313,N1,Sample_07,"""RGB(255,0,219)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
314,N2,Sample_14,"""RGB(255,0,182)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
314,N2,Sample_14,"""RGB(255,0,182)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
315,N3,Sample_21,"""RGB(255,0,146)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
315,N3,Sample_21,"""RGB(255,0,146)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
316,N4,Sample_28,"""RGB(255,0,109)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
316,N4,Sample_28,"""RGB(255,0,109)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
317,N5,Sample_35,"""RGB(255,0,73)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
317,N5,Sample_35,"""RGB(255,0,73)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
318,N6,Sample_42,"""RGB(255,0,36)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
318,N6,Sample_42,"""RGB(255,0,36)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
319,N7,Sample_07,"""RGB(255,0,219)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
319,N7,Sample_07,"""RGB(255,0,219)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
320,N8,Sample_14,"""RGB(255,0,182)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
320,N8,Sample_14,"""RGB(255,0,182)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
321,N9,Sample_21,"""RGB(255,0,146)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
321,N9,Sample_21,"""RGB(255,0,146)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
322,N10,Sample_28,"""RGB(255,0,109)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
322,N10,Sample_28,"""RGB(255,0,109)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
323,N11,Sample_35,"""RGB(255,0,73)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
323,N11,Sample_35,"""RGB(255,0,73)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
324,N12,Sample_42,"""RGB(255,0,36)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
324,N12,Sample_42,"""RGB(255,0,36)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
325,N13,Sample_07,"""RGB(255,0,219)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
325,N13,Sample_07,"""RGB(255,0,219)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
326,N14,Sample_14,"""RGB(255,0,182)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
326,N14,Sample_14,"""RGB(255,0,182)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
327,N15,Sample_21,"""RGB(255,0,146)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
327,N15,Sample_21,"""RGB(255,0,146)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
328,N16,Sample_28,"""RGB(255,0,109)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
328,N16,Sample_28,"""RGB(255,0,109)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
329,N17,Sample_35,"""RGB(255,0,73)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
329,N17,Sample_35,"""RGB(255,0,73)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
330,N18,Sample_42,"""RGB(255,0,36)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
330,N18,Sample_42,"""RGB(255,0,36)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
331,N19,Sample_07,"""RGB(255,0,219)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
331,N19,Sample_07,"""RGB(255,0,219)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
331,N19,Sample_07,"""RGB(255,0,219)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
332,N20,Sample_14,"""RGB(255,0,182)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
332,N20,Sample_14,"""RGB(255,0,182)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
332,N20,Sample_14,"""RGB(255,0,182)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
333,N21,Sample_21,"""RGB(255,0,146)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
333,N21,Sample_21,"""RGB(255,0,146)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
333,N21,Sample_21,"""RGB(255,0,146)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
334,N22,Sample_28,"""RGB(255,0,109)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
334,N22,Sample_28,"""RGB(255,0,109)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
334,N22,Sample_28,"""RGB(255,0,109)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
335,N23,Sample_35,"""RGB(255,0,73)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
335,N23,Sample_35,"""RGB(255,0,73)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
335,N23,Sample_35,"""RGB(255,0,73)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
336,N24,Sample_42,"""RGB(255,0,36)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
336,N24,Sample_42,"""RGB(255,0,36)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
336,N24,Sample_42,"""RGB(255,0,36)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
337,O1,STD1,"""RGB(31,119,180)""",,,ZSCAN12,"""RGB(67,160,71)""",STANDARD,VIC,NFQ-MGB,,
337,O1,STD1,"""RGB(31,119,180)""",,,GYPC1,"""RGB(30,136,229)""",STANDARD,CY5,NFQ-MGB,,
338,O2,STD2,"""RGB(255,127,14)""",,,ZSCAN12,"""RGB(67,160,71)""",STANDARD,VIC,NFQ-MGB,,
338,O2,STD2,"""RGB(255,127,14)""",,,GYPC1,"""RGB(30,136,229)""",STANDARD,CY5,NFQ-MGB,,
339,O3,STD3,"""RGB(44,160,44)""",,,ZSCAN12,"""RGB(67,160,71)""",STANDARD,VIC,NFQ-MGB,,
339,O3,STD3,"""RGB(44,160,44)""",,,GYPC1,"""RGB(30,136,229)""",STANDARD,CY5,NFQ-MGB,,
340,O4,STD4,"""RGB(214,39,40)""",,,ZSCAN12,"""RGB(67,160,71)""",STANDARD,VIC,NFQ-MGB,,
340,O4,STD4,"""RGB(214,39,40)""",,,GYPC1,"""RGB(30,136,229)""",STANDARD,CY5,NFQ-MGB,,
341,O5,gBlock,"""RGB(148,103,189)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
341,O5,gBlock,"""RGB(148,103,189)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
342,O6,H2O,"""RGB(30,136,229)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
342,O6,H2O,"""RGB(30,136,229)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
343,O7,STD1,"""RGB(31,119,180)""",,,DPP6,"""RGB(124,179,66)""",STANDARD,VIC,NFQ-MGB,,
343,O7,STD1,"""RGB(31,119,180)""",,,GYPC2,"""RGB(0,172,193)""",STANDARD,CY5,NFQ-MGB,,
344,O8,STD2,"""RGB(255,127,14)""",,,DPP6,"""RGB(124,179,66)""",STANDARD,VIC,NFQ-MGB,,
344,O8,STD2,"""RGB(255,127,14)""",,,GYPC2,"""RGB(0,172,193)""",STANDARD,CY5,NFQ-MGB,,
345,O9,STD3,"""RGB(44,160,44)""",,,DPP6,"""RGB(124,179,66)""",STANDARD,VIC,NFQ-MGB,,
345,O9,STD3,"""RGB(44,160,44)""",,,GYPC2,"""RGB(0,172,193)""",STANDARD,CY5,NFQ-MGB,,
346,O10,STD4,"""RGB(214,39,40)""",,,DPP6,"""RGB(124,179,66)""",STANDARD,VIC,NFQ-MGB,,
346,O10,STD4,"""RGB(214,39,40)""",,,GYPC2,"""RGB(0,172,193)""",STANDARD,CY5,NFQ-MGB,,
347,O11,gBlock,"""RGB(148,103,189)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
347,O11,gBlock,"""RGB(148,103,189)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
348,O12,H2O,"""RGB(30,136,229)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
348,O12,H2O,"""RGB(30,136,229)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
349,O13,STD1,"""RGB(31,119,180)""",,,GSX1,"""RGB(0,137,123)""",STANDARD,VIC,NFQ-MGB,,
349,O13,STD1,"""RGB(31,119,180)""",,,RALYL,"""RGB(67,160,71)""",STANDARD,CY5,NFQ-MGB,,
350,O14,STD2,"""RGB(255,127,14)""",,,GSX1,"""RGB(0,137,123)""",STANDARD,VIC,NFQ-MGB,,
350,O14,STD2,"""RGB(255,127,14)""",,,RALYL,"""RGB(67,160,71)""",STANDARD,CY5,NFQ-MGB,,
351,O15,STD3,"""RGB(44,160,44)""",,,GSX1,"""RGB(0,137,123)""",STANDARD,VIC,NFQ-MGB,,
351,O15,STD3,"""RGB(44,160,44)""",,,RALYL,"""RGB(67,160,71)""",STANDARD,CY5,NFQ-MGB,,
352,O16,STD4,"""RGB(214,39,40)""",,,GSX1,"""RGB(0,137,123)""",STANDARD,VIC,NFQ-MGB,,
352,O16,STD4,"""RGB(214,39,40)""",,,RALYL,"""RGB(67,160,71)""",STANDARD,CY5,NFQ-MGB,,
353,O17,gBlock,"""RGB(148,103,189)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
353,O17,gBlock,"""RGB(148,103,189)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
354,O18,H2O,"""RGB(30,136,229)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
354,O18,H2O,"""RGB(30,136,229)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
355,O19,STD1,"""RGB(31,119,180)""",,,COL2A1,"""RGB(216,27,96)""",STANDARD,FAM,NFQ-MGB,,
355,O19,STD1,"""RGB(31,119,180)""",,,ImC,"""RGB(192,202,51)""",STANDARD,VIC,NFQ-MGB,,
355,O19,STD1,"""RGB(31,119,180)""",,,EpC,"""RGB(0,137,123)""",STANDARD,CY5,NFQ-MGB,,
356,O20,STD2,"""RGB(214,39,40)""",,,COL2A1,"""RGB(216,27,96)""",STANDARD,FAM,NFQ-MGB,,
356,O20,STD2,"""RGB(214,39,40)""",,,ImC,"""RGB(192,202,51)""",STANDARD,VIC,NFQ-MGB,,
356,O20,STD2,"""RGB(214,39,40)""",,,EpC,"""RGB(0,137,123)""",STANDARD,CY5,NFQ-MGB,,
357,O21,STD3,"""RGB(44,160,44)""",,,COL2A1,"""RGB(216,27,96)""",STANDARD,FAM,NFQ-MGB,,
357,O21,STD3,"""RGB(44,160,44)""",,,ImC,"""RGB(192,202,51)""",STANDARD,VIC,NFQ-MGB,,
357,O21,STD3,"""RGB(44,160,44)""",,,EpC,"""RGB(0,137,123)""",STANDARD,CY5,NFQ-MGB,,
358,O22,STD4,"""RGB(214,39,40)""",,,COL2A1,"""RGB(216,27,96)""",STANDARD,FAM,NFQ-MGB,,
358,O22,STD4,"""RGB(214,39,40)""",,,ImC,"""RGB(192,202,51)""",STANDARD,VIC,NFQ-MGB,,
358,O22,STD4,"""RGB(214,39,40)""",,,EpC,"""RGB(0,137,123)""",STANDARD,CY5,NFQ-MGB,,
359,O23,gBlock,"""RGB(148,103,189)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
359,O23,gBlock,"""RGB(148,103,189)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
359,O23,gBlock,"""RGB(148,103,189)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
360,O24,H2O,"""RGB(30,136,229)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
360,O24,H2O,"""RGB(30,136,229)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
360,O24,H2O,"""RGB(30,136,229)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
361,P1,STD1,"""RGB(31,119,180)""",,,ZSCAN12,"""RGB(67,160,71)""",STANDARD,VIC,NFQ-MGB,,
361,P1,STD1,"""RGB(31,119,180)""",,,GYPC1,"""RGB(30,136,229)""",STANDARD,CY5,NFQ-MGB,,
362,P2,STD2,"""RGB(255,127,14)""",,,ZSCAN12,"""RGB(67,160,71)""",STANDARD,VIC,NFQ-MGB,,
362,P2,STD2,"""RGB(255,127,14)""",,,GYPC1,"""RGB(30,136,229)""",STANDARD,CY5,NFQ-MGB,,
363,P3,STD3,"""RGB(44,160,44)""",,,ZSCAN12,"""RGB(67,160,71)""",STANDARD,VIC,NFQ-MGB,,
363,P3,STD3,"""RGB(44,160,44)""",,,GYPC1,"""RGB(30,136,229)""",STANDARD,CY5,NFQ-MGB,,
364,P4,STD4,"""RGB(214,39,40)""",,,ZSCAN12,"""RGB(67,160,71)""",STANDARD,VIC,NFQ-MGB,,
364,P4,STD4,"""RGB(214,39,40)""",,,GYPC1,"""RGB(30,136,229)""",STANDARD,CY5,NFQ-MGB,,
365,P5,gBlock,"""RGB(148,103,189)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
365,P5,gBlock,"""RGB(148,103,189)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
366,P6,H2O,"""RGB(30,136,229)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
366,P6,H2O,"""RGB(30,136,229)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
367,P7,STD1,"""RGB(31,119,180)""",,,DPP6,"""RGB(124,179,66)""",STANDARD,VIC,NFQ-MGB,,
367,P7,STD1,"""RGB(31,119,180)""",,,GYPC2,"""RGB(0,172,193)""",STANDARD,CY5,NFQ-MGB,,
368,P8,STD2,"""RGB(255,127,14)""",,,DPP6,"""RGB(124,179,66)""",STANDARD,VIC,NFQ-MGB,,
368,P8,STD2,"""RGB(255,127,14)""",,,GYPC2,"""RGB(0,172,193)""",STANDARD,CY5,NFQ-MGB,,
369,P9,STD3,"""RGB(44,160,44)""",,,DPP6,"""RGB(124,179,66)""",STANDARD,VIC,NFQ-MGB,,
369,P9,STD3,"""RGB(44,160,44)""",,,GYPC2,"""RGB(0,172,193)""",STANDARD,CY5,NFQ-MGB,,
370,P10,STD4,"""RGB(214,39,40)""",,,DPP6,"""RGB(124,179,66)""",STANDARD,VIC,NFQ-MGB,,
370,P10,STD4,"""RGB(214,39,40)""",,,GYPC2,"""RGB(0,172,193)""",STANDARD,CY5,NFQ-MGB,,
371,P11,gBlock,"""RGB(148,103,189)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
371,P11,gBlock,"""RGB(148,103,189)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
372,P12,H2O,"""RGB(30,136,229)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
372,P12,H2O,"""RGB(30,136,229)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
373,P13,STD1,"""RGB(31,119,180)""",,,GSX1,"""RGB(0,137,123)""",STANDARD,VIC,NFQ-MGB,,
373,P13,STD1,"""RGB(31,119,180)""",,,RALYL,"""RGB(67,160,71)""",STANDARD,CY5,NFQ-MGB,,
374,P14,STD2,"""RGB(255,127,14)""",,,GSX1,"""RGB(0,137,123)""",STANDARD,VIC,NFQ-MGB,,
374,P14,STD2,"""RGB(255,127,14)""",,,RALYL,"""RGB(67,160,71)""",STANDARD,CY5,NFQ-MGB,,
375,P15,STD3,"""RGB(44,160,44)""",,,GSX1,"""RGB(0,137,123)""",STANDARD,VIC,NFQ-MGB,,
375,P15,STD3,"""RGB(44,160,44)""",,,RALYL,"""RGB(67,160,71)""",STANDARD,CY5,NFQ-MGB,,
376,P16,STD4,"""RGB(214,39,40)""",,,GSX1,"""RGB(0,137,123)""",STANDARD,VIC,NFQ-MGB,,
376,P16,STD4,"""RGB(214,39,40)""",,,RALYL,"""RGB(67,160,71)""",STANDARD,CY5,NFQ-MGB,,
377,P17,gBlock,"""RGB(148,103,189)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
377,P17,gBlock,"""RGB(148,103,189)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
378,P18,H2O,"""RGB(30,136,229)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
378,P18,H2O,"""RGB(30,136,229)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
379,P19,STD1,"""RGB(31,119,180)""",,,COL2A1,"""RGB(216,27,96)""",STANDARD,FAM,NFQ-MGB,,
379,P19,STD1,"""RGB(31,119,180)""",,,ImC,"""RGB(192,202,51)""",STANDARD,VIC,NFQ-MGB,,
379,P19,STD1,"""RGB(31,119,180)""",,,EpC,"""RGB(0,137,123)""",STANDARD,CY5,NFQ-MGB,,
380,P20,STD2,"""RGB(214,39,40)""",,,COL2A1,"""RGB(216,27,96)""",STANDARD,FAM,NFQ-MGB,,
380,P20,STD2,"""RGB(214,39,40)""",,,ImC,"""RGB(192,202,51)""",STANDARD,VIC,NFQ-MGB,,
380,P20,STD2,"""RGB(214,39,40)""",,,EpC,"""RGB(0,137,123)""",STANDARD,CY5,NFQ-MGB,,
381,P21,STD3,"""RGB(44,160,44)""",,,COL2A1,"""RGB(216,27,96)""",STANDARD,FAM,NFQ-MGB,,
381,P21,STD3,"""RGB(44,160,44)""",,,ImC,"""RGB(192,202,51)""",STANDARD,VIC,NFQ-MGB,,
381,P21,STD3,"""RGB(44,160,44)""",,,EpC,"""RGB(0,137,123)""",STANDARD,CY5,NFQ-MGB,,
382,P22,STD4,"""RGB(214,39,40)""",,,COL2A1,"""RGB(216,27,96)""",STANDARD,FAM,NFQ-MGB,,
382,P22,STD4,"""RGB(214,39,40)""",,,ImC,"""RGB(192,202,51)""",STANDARD,VIC,NFQ-MGB,,
382,P22,STD4,"""RGB(214,39,40)""",,,EpC,"""RGB(0,137,123)""",STANDARD,CY5,NFQ-MGB,,
383,P23,gBlock,"""RGB(148,103,189)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
383,P23,gBlock,"""RGB(148,103,189)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
383,P23,gBlock,"""RGB(148,103,189)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
384,P24,H2O,"""RGB(30,136,229)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
384,P24,H2O,"""RGB(30,136,229)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
384,P24,H2O,"""RGB(30,136,229)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
