Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
237,J21,Sample_19,"""RGB(0,73,255)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
238,J22,Sample_26,"""RGB(0,36,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
238,J22,Sample_26,"""RGB(0,36,255)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
238,J22,Sample_26,"""RGB(0,36,255)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
239,J23,Sample_33,"""RGB(0,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
239,J23,Sample_33,"""RGB(0,0,255)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
239,J23,Sample_33,"""RGB(0,0,255)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
240,J24,Sample_40,"""RGB(36,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
240,J24,Sample_40,"""RGB(36,0,255)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
240,J24,Sample_40,"""RGB(36,0,255)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
241,K1,Sample_06,"""RGB(73,0,255)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
241,K1,Sample_06,"""RGB(73,0,255)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
242,K2,Sample_13,"""RGB(109,0,255)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
242,K2,Sample_13,"""RGB(109,0,255)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
243,K3,Sample_20,"""RGB(146,0,255)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
243,K3,Sample_20,"""RGB(146,0,255)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
244,K4,Sample_27,"""RGB(182,0,255)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
244,K4,Sample_27,"""RGB(182,0,255)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
245,K5,Sample_34,"""RGB(219,0,255)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
245,K5,Sample_34,"""RGB(219,0,255)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
246,K6,Sample_41,"""RGB(255,0,255)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
246,K6,Sample_41,"""RGB(255,0,255)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
247,K7,Sample_06,"""RGB(73,0,255)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
247,K7,Sample_06,"""RGB(73,0,255)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
248,K8,Sample_13,"""RGB(109,0,255)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
248,K8,Sample_13,"""RGB(109,0,255)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
249,K9,Sample_20,"""RGB(146,0,255)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
249,K9,Sample_20,"""RGB(146,0,255)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
250,K10,Sample_27,"""RGB(182,0,255)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
250,K10,Sample_27,"""RGB(182,0,255)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
251,K11,Sample_34,"""RGB(219,0,255)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
251,K11,Sample_34,"""RGB(219,0,255)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
252,K12,Sample_41,"""RGB(255,0,255)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
252,K12,Sample_41,"""RGB(255,0,255)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
253,K13,Sample_06,"""RGB(73,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
253,K13,Sample_06,"""RGB(73,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
254,K14,Sample_13,"""RGB(109,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
254,K14,Sample_13,"""RGB(109,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
255,K15,Sample_20,"""RGB(146,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
255,K15,Sample_20,"""RGB(146,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
256,K16,Sample_27,"""RGB(182,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
256,K16,Sample_27,"""RGB(182,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
257,K17,Sample_34,"""RGB(219,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
257,K17,Sample_34,"""RGB(219,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
258,K18,Sample_41,"""RGB(255,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
258,K18,Sample_41,"""RGB(255,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
259,K19,Sample_06,"""RGB(73,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
