# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-11_BARCA_plate 3_A1-G6(2).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 02:27:49 PM CEST
# Run End Date/Time: 2021-08-11 03:37:23 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 03:15:33 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:55 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"3","A3","45","62922.027",,"118706.914","107030.914"
"4","A4","1","58532.277",,"117970.2","106007.516"
"4","A4","2","58420.19",,"117572.86","105769.91"
"4","A4","3","57919.883",,"116996.71","105326.164"
"4","A4","4","57633.29",,"116058.086","104701.79"
"4","A4","5","57218.617",,"115120.56","103747.586"
"4","A4","6","56502.887",,"113859.83","102781.18"
"4","A4","7","55907.047",,"113300.22","102146.13"
"4","A4","8","55859.44",,"113024.305","101628.22"
"4","A4","9","56154.434",,"112912.29","101559.67"
"4","A4","10","56227.746",,"112870.734","101713.4"
"4","A4","11","55999.812",,"112804.266","101712.42"
"4","A4","12","55962.797",,"112733.75","101690.15"
"4","A4","13","56146.832",,"112644.48","101807.93"
"4","A4","14","56220.867",,"112539.22","102177.82"
"4","A4","15","56513.105",,"112543.39","102077.875"
"4","A4","16","56597.848",,"112719.22","102050.984"
"4","A4","17","56477.92",,"112729.734","102371.195"
"4","A4","18","56225.918",,"112741.53","102536.945"
"4","A4","19","56229.023",,"112691.01","102493.414"
